id,x,y,type,demand,terminal_cost,processing_cost
0,50.0,50.0,center,0,0,0
10,35.0,35.0,terminal,0,3000,10
11,65.0,35.0,terminal,0,3000,10
12,35.0,65.0,terminal,0,3000,10
13,65.0,65.0,terminal,0,3000,10
100,23.0,20.0,consumer,80,0,0
101,20.9,22.9,consumer,80,0,0
102,17.6,21.8,consumer,80,0,0
103,17.6,18.2,consumer,80,0,0
104,20.9,17.1,consumer,80,0,0
105,83.0,20.0,consumer,80,0,0
106,80.9,22.9,consumer,80,0,0
107,77.6,21.8,consumer,80,0,0
108,77.6,18.2,consumer,80,0,0
109,80.9,17.1,consumer,80,0,0
110,23.0,80.0,consumer,80,0,0
111,20.9,82.9,consumer,80,0,0
112,17.6,81.8,consumer,80,0,0
113,17.6,78.2,consumer,80,0,0
114,20.9,77.1,consumer,80,0,0
115,83.0,80.0,consumer,80,0,0
116,80.9,82.9,consumer,80,0,0
117,77.6,81.8,consumer,80,0,0
118,77.6,78.2,consumer,80,0,0
119,80.9,77.1,consumer,80,0,0
