id,x,y,type,demand,terminal_cost,processing_cost
0,50,50,center,0,0,0
10,24.6,30.0,terminal,0,8000,15
11,28.2,31.7,terminal,0,8000,15
12,77.6,22.2,terminal,0,8000,15
13,71.4,20.7,terminal,0,8000,15
14,28.8,80.4,terminal,0,8000,15
15,18.5,73.4,terminal,0,8000,15
16,73.0,74.6,terminal,0,8000,15
17,74.0,76.9,terminal,0,8000,15
100,32.6,26.2,consumer,69,0,0
101,24.8,33.2,consumer,86,0,0
102,26.3,29.4,consumer,81,0,0
103,28.6,21.0,consumer,84,0,0
104,28.4,29.6,consumer,80,0,0
105,30.5,30.9,consumer,83,0,0
106,31.5,28.2,consumer,63,0,0
107,84.6,18.8,consumer,94,0,0
108,78.7,25.8,consumer,92,0,0
109,74.7,18.2,consumer,83,0,0
110,68.3,21.7,consumer,54,0,0
111,68.1,26.1,consumer,64,0,0
112,70.5,20.1,consumer,95,0,0
113,26.7,78.2,consumer,52,0,0
114,29.8,79.1,consumer,65,0,0
115,27.8,85.7,consumer,84,0,0
116,24.8,80.4,consumer,86,0,0
117,15.7,71.9,consumer,80,0,0
118,19.5,70.9,consumer,56,0,0
119,70.7,71.1,consumer,76,0,0
120,65.6,76.2,consumer,93,0,0
121,69.1,69.0,consumer,53,0,0
122,70.7,79.2,consumer,56,0,0
123,74.0,79.6,consumer,78,0,0
124,75.7,78.9,consumer,79,0,0
